"Ensembl.Gene.ID","fc_strain","Associated.Gene.Name","p_strain","fc_time","p_time"
"ENSMUSG00000000568",0.488126931828843,"Hnrnpd",0.0602123312262455,0.166259315000822,1.81905971256128e-10
"ENSMUSG00000001228",0.599586463761292,"Uhrf1",0.326351211161863,0.363388646496806,2.31638053073066e-10
"ENSMUSG00000001525",0.876523466407759,"Tubb5",0.000538567279586624,0.245635146352688,9.61317499527597e-22
"ENSMUSG00000003031",0.568693762115343,"Cdkn1b",0.0444156918898289,0.1948048405395,6.75711821821498e-12
"ENSMUSG00000003382",1.67638222475577,"Etv3",6.94120825865307e-09,-0.0256435177715887,0.652022630322055
"ENSMUSG00000003824",0.895652522638336,"Syce2",0.0285892242608731,0.328556981625035,5.71757816892009e-16
"ENSMUSG00000004296",0.952871016006635,"Il12b",0.45379112254427,0.671083111190144,9.1753941371034e-09
"ENSMUSG00000004897",0.703868958324735,"Hdgf",0.00182194081764975,0.138310475124925,7.16118372207633e-09
"ENSMUSG00000005732",0.86889131494079,"Ranbp1",2.98270269105009e-05,0.153481091427652,3.16704274997971e-12
"ENSMUSG00000006378",0.874621684262414,"Gcat",0.107231066782039,0.400153201167041,3.98254355683939e-14
"ENSMUSG00000007564",1.23987226131849,"Ppp2r1a",1.68382471600506e-09,-0.0113804570669561,0.803791432600003
"ENSMUSG00000009575",0.42104737058201,"Cbx5",0.408956568346787,0.378995035885013,8.04410918502628e-17
"ENSMUSG00000014599",3.30297167662399,"Csf1",6.06132633006354e-11,0.0789053039784746,0.345646880050879
"ENSMUSG00000018341",3.05082130774549,"Il12rb2",4.84819638017713e-12,0.128971478180936,0.0310450644188732
"ENSMUSG00000018507",0.926462087188288,"Trpv2",0.0233786266571901,-0.24326944431937,8.49768339745559e-09
"ENSMUSG00000019970",-0.361652526590183,"Sgk1",0.547212841125849,-0.326105060268588,9.44364227416376e-10
"ENSMUSG00000020277",1.10914732617348,"Pfkl",1.46959467446555e-05,0.187827723306155,3.98601669947405e-12
"ENSMUSG00000020484",1.82238547541579,"Xbp1",3.53917178777117e-12,-0.00290390850727244,0.967162519650624
"ENSMUSG00000020534",1.34124920617513,"Shmt1",0.0412443203632417,0.408078546271919,9.55290449051957e-10
"ENSMUSG00000020638",1.75746109147057,"Cmpk2",0.0558885925218409,-0.70366256042537,5.8698506728143e-15
"ENSMUSG00000021196",1.32663070312738,"Pfkp",3.11972987239358e-09,0.0377712233618652,0.288913250420272
"ENSMUSG00000021270",1.16379586322614,"Hsp90aa1",7.96531331224861e-09,0.0761710963881169,0.00207895053185059
"ENSMUSG00000021948",1.17598006971187,"Prkcd",5.9025099794458e-09,-0.0963307028620336,4.18482391560182e-05
"ENSMUSG00000022285",1.07181671398062,"Ywhaz",8.81889519434377e-10,-0.0789244459345715,0.000132633323234087
"ENSMUSG00000022443",1.27027301774017,"Myh9",1.90656368618518e-10,-0.0431315011432504,0.140595560871382
"ENSMUSG00000023004",1.11867409927461,"Tuba1b",7.75621406849817e-08,0.259439502876342,6.42363181947266e-34
"ENSMUSG00000023456",0.722327228138979,"Tpi1",0.00032098000774878,0.163459568544525,3.34807569395693e-15
"ENSMUSG00000024393",1.21006592978475,"Prrc2a",1.41452757627123e-09,-0.00331758376888806,0.949208075976141
"ENSMUSG00000024456",1.48545414013558,"Diap1",1.49528032339926e-11,-0.0139991115483784,0.770802028234082
"ENSMUSG00000025203",0.0627100720858112,"Scd2",0.887008568689231,0.217806149098558,4.85596100832964e-10
"ENSMUSG00000025747",0.825622067828084,"Tyms",0.146991443386571,0.364074150389637,5.70201903885401e-11
"ENSMUSG00000025791",0.373716782861045,"Pgm2",0.302489719242293,0.214712731128854,3.5002406305196e-10
"ENSMUSG00000025809",1.27083112699108,"Itgb1",3.18548677193096e-10,0.0896103356807504,0.000195755046221248
"ENSMUSG00000026238",0.793664095847071,"Ptma",6.71265416756938e-06,0.202250358608991,1.13887515315988e-29
"ENSMUSG00000026281",0.873985730364996,"Dtymk",0.0110260550836462,0.213946004863163,2.02609602879666e-09
"ENSMUSG00000026821",1.17407087310666,"Ralgds",0.0179142913246015,-0.331946563558812,6.10434639510301e-11
"ENSMUSG00000027199",0.913741884473428,"Gatm",0.105825477656836,0.396403827113584,6.68546194347937e-13
"ENSMUSG00000027203",0.802956404479355,"Dut",0.0427448760424729,0.237171454914997,4.43069850999803e-09
"ENSMUSG00000027678",1.92857335413133,"Ncoa3",5.18660249171371e-12,0.0204817401241019,0.728206122929236
"ENSMUSG00000027995",-0.0798991272198061,"Tlr2",0.88298764816948,-0.310280070555416,2.48143004012568e-13
"ENSMUSG00000028063",1.01370281104819,"Lmna",0.0112406025567188,-0.297985921094594,2.03321612990274e-13
"ENSMUSG00000028212",0.322836133482218,"Ccne2",0.526485747888709,0.37363459382853,3.61194415960694e-17
"ENSMUSG00000028333",0.422683102131761,"Anp32b",0.0181204065017265,0.148008450379978,1.01425681344698e-16
"ENSMUSG00000028452",1.12567573301729,"Vcp",7.03218732185666e-09,0.0722576163185697,0.00257634858457519
"ENSMUSG00000028494",0.725121005930467,"Plin2",0.0580130103750398,-0.267346552494075,1.83528528428384e-12
"ENSMUSG00000028530",1.2408929077517,"Jak1",3.24542223129523e-09,0.00475483611192411,0.928925404144712
"ENSMUSG00000028832",0.888452525615911,"Stmn1",0.0610904051064713,0.306552012090921,1.66385257347236e-10
"ENSMUSG00000028923",1.67835236955069,"Necap2",1.21078989892833e-11,0.0033277856269932,0.959783073655834
"ENSMUSG00000029177",0.903083720557478,"Cenpa",0.0326762164870246,-0.294230063162515,4.36581666696806e-12
"ENSMUSG00000029430",0.544999708494452,"Ran",0.0193541980450293,0.144027000103627,2.00277119088336e-09
"ENSMUSG00000029470",1.52001624479149,"P2rx4",9.35609865000249e-10,0.00447219656247504,0.944754830165248
"ENSMUSG00000029687",1.01122607623,"Ezh2",0.0337944190722659,0.301994597813675,4.32250255619589e-10
"ENSMUSG00000029730",0.684380565077937,"Mcm7",0.184083718398899,0.325757932420652,6.10434639510301e-11
"ENSMUSG00000030120",1.23085768438112,"Mlf2",3.87146348974976e-09,0.0383541507914878,0.233601136971244
"ENSMUSG00000030122",1.00154522407718,"Ptms",6.29585108444375e-10,0.0570822212993084,0.00511133457747372
"ENSMUSG00000030162",2.43704626432398,"Olr1",5.56496571646073e-09,0.0524969377863918,0.472753288791691
"ENSMUSG00000030536",1.07327293628512,"Iqgap1",1.01831555911148e-09,-0.043382508040279,0.076979514213404
"ENSMUSG00000030654",1.1531788629035,"Arl6ip1",8.18425273597035e-09,0.00338885366538209,0.947619842089782
"ENSMUSG00000030697",1.32335985986367,"Ppp4c",2.35061989498562e-10,-0.0380541617440139,0.242895443329458
"ENSMUSG00000030748",1.52102830528433,"Il4ra",8.42848094092056e-10,0.0150156845240851,0.77946811560715
"ENSMUSG00000031827",1.29886903358317,"Cotl1",1.40605562095061e-11,-0.0513145094159423,0.0542359940365828
"ENSMUSG00000032064",1.41486139703816,"Dixdc1",0.0321549090718581,0.410438583223234,1.1879480777755e-09
"ENSMUSG00000032558",0.435106263981143,"Nphp3",0.514591265266799,0.351800869373275,5.7993052341326e-09
"ENSMUSG00000033004",1.21379278570404,"Mycbp2",5.11980199037451e-09,0.0175953321536136,0.667150592987298
"ENSMUSG00000033307",0.628630728023907,"Mif",0.000240017143940046,0.113243109478256,4.37237870126095e-10
"ENSMUSG00000033335",1.52121336930246,"Dnm2",5.68863456647107e-11,-0.0617852804838136,0.0538308251148592
"ENSMUSG00000033352",1.55482396714396,"Map2k4",9.89323266439634e-10,-0.0679261677677895,0.0501871985133983
"ENSMUSG00000034459",0.82506984868689,"Ifit1",0.44233266551056,-0.710808050317305,1.41786390154673e-13
"ENSMUSG00000034522",0.794378772965996,"Zfp395",0.133587461162885,0.329421500221119,2.5590785358091e-10
"ENSMUSG00000035530",0.779049457290768,"Eif1",5.72037323508817e-06,-0.116694836654488,2.20947793165342e-10
"ENSMUSG00000037373",1.41003410571762,"Ctbp1",1.71948674035915e-09,-0.00958181153655236,0.861533036445372
"ENSMUSG00000037400",1.95954188533937,"Atp11b",9.89323266439634e-10,0.0373194736502626,0.518980192129678
"ENSMUSG00000038037",2.08792530447798,"Socs1",6.0705802988961e-10,-0.079161553666182,0.0988343502345894
"ENSMUSG00000039168",1.43794300883016,"Dap",1.87478744757953e-09,0.00798836301230659,0.890076240244286
"ENSMUSG00000040681",0.784788012371565,"Hmgn1",0.00581358159389857,0.210539646288643,5.9394733112156e-13
"ENSMUSG00000041859",0.96161441633923,"Mcm3",0.0196276253298869,0.270661764022481,1.45620872241689e-10
"ENSMUSG00000042190",0.533710769185865,"Cmklr1",0.430958196926033,-0.388469598659394,3.49779024405275e-10
"ENSMUSG00000042228",0.889088105561326,"Lyn",0.00417486731848318,-0.191207336380216,4.4821951548977e-09
"ENSMUSG00000042265",0.816189539622465,"Trem1",0.243001210808272,-0.419523356632373,3.33810552561634e-10
"ENSMUSG00000043445",0.576207365785437,"Pgp",0.0555809796872939,0.196790479839178,7.17349534481032e-11
"ENSMUSG00000044098",1.96493513866458,"Rsbn1",4.14391842764355e-09,0.0202574120674706,0.778756380137021
"ENSMUSG00000044162",2.01465869441869,"Tnip3",5.64570481400949e-09,-0.0526523040893257,0.352146207526217
"ENSMUSG00000046223",1.27499786676975,"Plaur",0.00255735795437938,-0.32102517379725,1.46802233292689e-13
"ENSMUSG00000051043",2.52366267447133,"Gprc5c",0.00143400678848369,-0.49301893817363,3.79907207120598e-09
"ENSMUSG00000054766",0.48190826118918,"Set",0.0245832945358136,0.200009066842221,1.95475297724161e-21
"ENSMUSG00000059534",1.17223393668756,"Uqcr10",9.70412485196947e-10,0.0570536475366959,0.0242255085531861
"ENSMUSG00000059743",-0.160581122907965,"Fdps",0.719492778919205,0.219849290870232,9.61689801996982e-09
"ENSMUSG00000060373",1.13631681254531,"Hnrnpc",6.42519326193317e-09,-0.00915305832115276,0.837807237395194
"ENSMUSG00000062345",-0.211527166991534,"Serpinb2",0.884311655043477,-0.678176769121788,5.7993052341326e-09
"ENSMUSG00000063511",1.25942973183798,"Snrnp70",1.00488335893912e-09,0.0705169804602828,0.00708574233636913
"ENSMUSG00000071713",1.14498686773193,"Csf2rb",9.04318675012214e-10,-0.0346125863586562,0.230276362728213
"ENSMUSG00000073411",1.15537877134639,"H2-D1",4.27697248652817e-09,0.0177297011804786,0.643963056431384
"ENSMUSG00000073490",0.121675502140724,"AI607873",0.847036213707469,-0.3157174074572,5.07913340979409e-10
"ENSMUSG00000073608",0.783767628634701,"Gm6086",0.00010890820780582,0.189476644164158,1.60924853684656e-19
"ENSMUSG00000080142",0.777725530562583,"Gm12838",8.14636991844585e-05,0.211412920029096,1.16829772831163e-25
"ENSMUSG00000096544",0.688365188119156,"Gm4617",0.00283479813397397,0.189913132100049,2.31948227874281e-15
"ENSMUSG00000106534",0.206122403419694,NA,0.554358920917556,0.18666179895287,3.79907207120598e-09
"ENSMUSG00000108857",1.92210166333858,NA,3.18548677193096e-10,-0.0611159759572472,0.181972850990799
"ENSMUSG00000112023",0.822004621041954,NA,0.00448668055007634,-0.176939080284239,5.7993052341326e-09
"ENSMUSG00000112038",1.35933114298959,NA,1.26995438590572e-12,-0.0981928546794838,1.42662068013761e-05
"ENSMUSG00000112148",0.739804092284429,NA,0.0794507981359357,-0.263014840750348,3.67290872211599e-10
"TGME49_201785",-0.643784863750142,NA,0.0905547690370002,-0.245615187175579,7.12317878390352e-11
"TGME49_202770",-1.59737046897284,"TGME49_202770",9.63474791607914e-09,-0.091779422092321,0.00914303813521883
"TGME49_203290",-2.57409929244658,NA,5.67559937269943e-15,0.00931207448672739,0.912856525034405
"TGME49_203310",-0.800533479906108,"GRA7",0.00480176620392327,-0.286723939082654,1.97931292209758e-24
"TGME49_204050",-0.716148847571848,"SUB1",0.0342591116583401,-0.295650999843146,4.61904856004403e-19
"TGME49_204530",-0.626081834104709,"MIC11",0.116629912681437,-0.275420123154014,1.26775062171683e-12
"TGME49_207400",-0.453002632639153,NA,0.272245223298919,-0.288114400162353,7.04100254407943e-14
"TGME49_207750",3.24736659723748,"TGME49_207750",2.07655180835666e-09,-0.0399015113958972,0.720998669873977
"TGME49_208450",-1.38753404162608,"PI2",0.000197990422210108,-0.311663252379925,5.71757816892009e-16
"TGME49_213050",0.77939973705307,NA,0.0158972016245231,-0.215232147145056,8.16955882144094e-11
"TGME49_213280",-0.293665079290919,"SRS25",0.36605656242546,-0.19283245107979,1.70587381826019e-10
"TGME49_213620",3.96533389954171,NA,6.0705802988961e-10,-0.147034018356837,0.109607431376331
"TGME49_214940",-0.0772992445054518,"TGME49_214940",0.851698606890087,-0.210384709708987,2.42334334879363e-10
"TGME49_215610",-3.2437940238379,NA,1.93233166757572e-14,-0.0671430677938608,0.34476807500098
"TGME49_215960",-0.535917714834165,NA,0.0778273813427828,-0.318855007151005,7.72600984173436e-29
"TGME49_216680",4.07656907627591,"TGME49_216680",1.94180035808024e-30,-0.0754058564844656,0.191259769408851
"TGME49_216820",-0.387059331797091,"TGME49_216820",0.391706458712474,-0.275897733412298,2.8597704948325e-11
"TGME49_218520",-0.575422879553068,"MIC6",0.0914019561921398,-0.274425245604779,7.13290345701699e-17
"TGME49_218540",1.66532165705262,NA,0.0177973785898774,0.423373200113939,6.54688339142259e-09
"TGME49_219230",3.67833420745339,"TGME49_219230",6.68670661501398e-10,-0.19636512127936,0.00996914702641911
"TGME49_219240",3.93058280379532,"TGME49_219240",4.76511781355852e-17,-0.106803061543998,0.132342146467776
"TGME49_220650",-5.1800210282114,NA,1.01677536213834e-21,-0.0673170968974169,0.510722788112847
"TGME49_220720",3.56369713165954,NA,5.51250627161678e-11,0.0223482609851866,0.861918811261616
"TGME49_220730",3.49114160769613,NA,2.71399769666089e-13,-0.0246844571143358,0.823729185769118
"TGME49_220950",1.88788150915112,NA,1.23807638922392e-13,-0.217443267155198,1.26952710933779e-14
"TGME49_222070",6.49239159148989,"TGME49_222070",3.23080545738158e-73,-0.0771160681905137,0.198340530865589
"TGME49_227620",0.207286605873803,"GRA2",0.426740806442269,-0.188753116120714,4.36390199105474e-16
"TGME49_230180",-0.782415703435897,NA,0.0526447616441395,-0.246642787164435,1.42573640714102e-09
"TGME49_231960",3.35925147774861,NA,5.96875370380974e-12,-0.150138079733181,0.0209861530800401
"TGME49_233480",-0.354964724897367,"SRS2",0.147738416246466,-0.159903857579779,1.89984455549046e-11
"TGME49_233490",0.617920527163274,NA,0.27404837110389,-0.339559454763202,2.42334334879363e-10
"TGME49_233500",3.5537326857338,"TPI-II",2.55056386005762e-18,0.0211051705065187,0.828552753312705
"TGME49_233770",-5.51576945948679,"TGME49_233770",4.10878966877103e-26,-0.147954725653328,0.0501991805736635
"TGME49_235680",1.80904563783909,"TGME49_235680",1.90607116176159e-09,-0.0870069582741244,0.0296672442589347
"TGME49_236890",-0.804795287824483,NA,0.0360546390805555,-0.245618671723475,2.69896077020607e-10
"TGME49_237230",-0.101606302939358,NA,0.79764917688265,-0.210242120612757,1.45620872241689e-10
"TGME49_238140",2.87420751732636,"TGME49_238140",9.25680262451495e-09,-0.106710998798273,0.142443133632285
"TGME49_239020",4.62715027223586,"TGME49_239020",2.48866540015196e-19,0.0189405392435552,0.885082902723198
"TGME49_239250",3.65318592511379,"TGME49_239250",1.93233166757572e-14,-0.0569628164509537,0.521733067717685
"TGME49_239740",-1.05183045152306,"GRA14",3.58181950546514e-05,-0.173917985064314,1.51660273906835e-10
"TGME49_239890",-0.52508131116408,NA,0.19880825346477,-0.232048302134136,5.7993052341326e-09
"TGME49_240060",-0.196905274501198,NA,0.684625767501326,-0.259867476354808,3.67290872211599e-10
"TGME49_240090",-0.647072561012463,"TGME49_240090",0.0801939298676439,-0.223912630802309,1.3568803517213e-09
"TGME49_243930",-0.79843948824143,NA,0.039144495825253,-0.245089944100212,3.84995835032449e-10
"TGME49_246550",0.109398401682771,"ASP3",0.768935167372782,-0.191333246013956,6.18764458588798e-10
"TGME49_247670",-3.64966498224884,"TGME49_247670",9.35609865000249e-10,-0.0354372072536675,0.784338087715974
"TGME49_249990",-0.481055898412208,NA,0.157471230263193,-0.231604882184543,1.64057612038999e-12
"TGME49_250100",3.64285021248563,NA,2.82535196217311e-11,-0.0859505520517017,0.343860666859602
"TGME49_250115",-0.420062305168849,NA,0.29670187012768,-0.237783410047708,3.8657671747029e-10
"TGME49_250710",-0.623224184808163,"MIC10",0.0841314749372336,-0.293658377463663,3.61194415960694e-17
"TGME49_250950",-3.02908887764041,NA,1.4321648142996e-09,-0.223217674156697,0.000148119267533172
"TGME49_253180",-2.47478672769788,NA,4.35257169449315e-10,-0.13215973623455,0.00855954990353884
"TGME49_253710",-4.99088257637854,NA,8.82711608689137e-21,0.00618471662850129,0.966919087404983
"TGME49_254160",-6.68580428015399,NA,2.00911079002226e-56,-0.154416294912299,0.00831756025974448
"TGME49_254606",2.94670586621359,NA,5.64570481400949e-09,0.0179957607821118,0.882258180046667
"TGME49_254610",4.14748239563669,"TGME49_254610",9.22891033808682e-10,-0.00104175029220275,0.994288310574403
"TGME49_254720",-0.688423912658249,"GRA8",0.0056237923720233,-0.169836359961437,4.50926611698066e-11
"TGME49_257380",0.526951934693807,NA,0.0521206441931482,-0.158946196991477,8.43010043530013e-09
"TGME49_257670",4.95724345492891,NA,4.81378212147012e-52,-0.11619732529051,0.0116423223147071
"TGME49_257910",-5.20018695625887,NA,2.63467101050915e-22,-0.17757172090644,0.0152473054550947
"TGME49_261022",3.32446895571242,"TGME49_261022",4.7120008728394e-11,0.0596255965049196,0.516439125061029
"TGME49_262400",-0.166739758600306,"TGME49_262400",0.678581999583889,-0.225604276774929,5.96967027322895e-11
"TGME49_264260",4.10963228415276,NA,2.49530907224276e-12,-0.153679568570019,0.0615949807137137
"TGME49_266640",6.77195377760641,"TGME49_266640",6.27605392291701e-58,-0.107915935652038,0.102281240164705
"TGME49_268220",-6.45730403333713,NA,5.73047233912574e-64,-0.165058901655988,0.0011083288061539
"TGME49_268225",5.70610835749249,NA,1.35169919119312e-17,0.107571222112063,0.34874931531706
"TGME49_268230",5.25537277133779,NA,4.10878966877103e-26,-0.0271801758947654,0.821875914960255
"TGME49_268980",0.218935204654827,NA,0.606480795535332,-0.232854655722329,3.84995835032449e-10
"TGME49_269050",4.91574387918546,NA,5.41050678215804e-13,0.0731635838286736,0.574028372708242
"TGME49_269930",4.44927112028169,"TGME49_269930",2.30754165999319e-14,-0.113880617925326,0.215710363876444
"TGME49_270250",-0.744702724472152,"GRA1",0.000823367068894002,-0.197094137368461,3.88114834174813e-18
"TGME49_270580",4.48590772093949,"TGME49_270580",1.7440903506334e-10,-0.0404399387659724,0.795207142845618
"TGME49_270595",4.83667434706814,NA,1.86788275975402e-20,-0.0307264442487941,0.802254492360732
"TGME49_275440",0.342049652803919,"GRA6",0.19109059989706,-0.170021171937749,1.32289059589312e-11
"TGME49_276200",-3.92852731712802,NA,1.1060532003181e-18,0.0147024759392065,0.897244219825976
"TGME49_277080",-0.215695786045621,"MIC5",0.6385046302867,-0.250782986234242,3.49779024405275e-10
"TGME49_278540",-4.69544294004302,NA,1.61132627049106e-32,-0.134915354026411,0.0132278213203893
"TGME49_283540",-0.528627619634771,NA,0.226881622242165,-0.268795499218283,1.45620872241689e-10
"TGME49_285470",6.13844382468327,"TGME49_285470",3.95913964216048e-20,0.127645069867711,0.244658698624277
"TGME49_286450",0.171112015644558,"GRA5",0.516141772903859,-0.166083794301926,8.77362989699203e-13
"TGME49_289050",-0.965259717201999,"TGME49_289050",0.0171542615302152,-0.279724067819924,1.17304031582383e-11
"TGME49_289350",5.60497302229024,"ABCG84",1.91648651418112e-46,0.00886151957400679,0.935755876826894
"TGME49_290300",-4.45548287681676,NA,8.13399448821543e-14,-0.0153452252770549,0.920521195789811
"TGME49_294200",-0.305819739184415,"TGME49_294200",0.338085759469617,-0.229988040731254,3.11119232124003e-15
"TGME49_295440",5.90422180516194,NA,1.07474417484501e-14,0.010105559193644,0.961447285093767
"TGME49_296340",-3.46592937527892,NA,1.44751931800046e-09,-0.181563700797711,0.0136593106658894
"TGME49_297492",5.19404608541988,NA,3.63948612777568e-13,0.0388173204878752,0.812786853171354
"TGME49_297495",5.18126520376455,NA,1.07474417484501e-14,0.1185090526608,0.281576482448641
"TGME49_298070",4.713030218506,NA,1.52899476829259e-10,-0.0471059741453062,0.766719385088143
"TGME49_299780",1.3011371717486,NA,7.40804258974954e-05,-0.242312722867484,2.26965100287162e-12
"TGME49_302000",-1.0720763532752,"TGME49_302000",0.0071579761825267,-0.244907672899073,3.71436234455959e-09
"TGME49_307770",4.68644930803522,"TGME49_307770",8.42600948010262e-36,-0.0825930472028535,0.172608088130105
"TGME49_308093",5.40603601557415,"TGME49_308093",6.14347318315197e-23,0.0200641401296259,0.886923248225351
"TGME49_311335",6.19279347949245,"TGME49_311335",1.92805695113049e-25,0.00880187706635594,0.957379041455097
"TGME49_311460",5.68554200531069,NA,1.15276961047358e-27,0.0852770186305413,0.353649690626075
"TGME49_313440",4.33083763282797,NA,3.28717564210766e-16,-0.0713890600171357,0.457122360841562
"TGME49_313910",0.0869323217967076,"TGME49_313910",0.81558163071358,-0.183876633486218,2.08955517274236e-09
"TGME49_320490",-0.156601254248928,NA,0.697474418405581,-0.217439679204732,2.20947793165342e-10
"TGME49_321540",2.75735155204391,NA,1.86935066157732e-12,-0.0422577433613573,0.570259045921116
"TGME49_323100",-1.84106429883828,NA,3.27281781571832e-09,-0.110077381022964,0.00459084483190131
"TGME49_461470",1.07994799328898,NA,2.3846781136751e-17,-0.00758914392957232,0.796987866605186
"TGME49_462910",-0.321215418111966,NA,0.177203340970371,-0.177283103322393,3.41033603712045e-15
